State	ELEC.GEN.ALL-US-99.A	ELEC.GEN.ALL	Source	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Missouri	ELEC.GEN.BIO-MO-99.A	ELEC.GEN.BIO	Biomass (total)	10	9	24	29	43	75	62	62	54	74
Missouri	ELEC.GEN.WWW-MO-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	0	0	0	0	2	2	0	0	0	8
Missouri	ELEC.GEN.WAS-MO-99.A	ELEC.GEN.WAS	Other biomass	9	9	24	29	41	73	62	62	54	66
Nebraska	ELEC.GEN.ALL-NE-99.A	ELEC.GEN.ALL	General
Nebraska	ELEC.GEN.HYC-NE-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	913	871	893	347	346	434	1314	1617	1257	1124
Nebraska	ELEC.GEN.AOR-NE-99.A	ELEC.GEN.AOR	All Other Renewables	78	139	313	278	275	449	493	1116	1347	1869
Nebraska	ELEC.GEN.WND-NE-99.A	ELEC.GEN.WND	Wind	38	97	261	217	214	383	422	1051	1284	1802
Nebraska	ELEC.GEN.SUN-NE-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Nebraska	ELEC.GEN.GEO-NE-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Nebraska	ELEC.GEN.BIO-NE-99.A	ELEC.GEN.BIO	Biomass (total)	40	43	52	61	61	66	72	65	63	67
Nebraska	ELEC.GEN.WWW-NE-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	0
Nebraska	ELEC.GEN.WAS-NE-99.A	ELEC.GEN.WAS	Other biomass	40	43	52	61	61	66	72	65	63	67
North Dakota	ELEC.GEN.ALL-ND-99.A	ELEC.GEN.ALL	General
North Dakota	ELEC.GEN.HYC-ND-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1546	1342	1521	1305	1253	1475	2042	2580	2477	1852
