Year	State	Commodity	Type	Revenue
2006	KS	Oil & Gas	Other Royalties	-812.0599999999981
2006	KS	NGL	Royalties	456079.31
2006	KS	Oil	Royalties	3940260.63
2006	KS	Oil & Gas	Bonus	56720
2006	KS	Other Products	Royalties	-57.39
2006	KY	Coal	Rents	31080
2006	KY	Coal	Bonus	510452.81
2006	KY	Oil & Gas	Bonus	39629
2006	KY	Oil & Gas	Rents	19535.3
2006	KY	Gas	Royalties	181435.89
2006	KY	Coal	Other Revenues	20000
2006	KY	Oil	Royalties	6002.08
2006	KY	Oil & Gas	Other Revenues	20701.99
2006	LA	Oil & Gas	Rents	20330.5
2006	LA	Gas	Royalties	34130980.06
2006	LA	NGL	Royalties	1229701.3799999997
2006	LA	Oil	Royalties	3319581.3500000015
2006	LA	Oil & Gas	Other Royalties	-713524.72
2006	LA	Oil & Gas	Bonus	595815
2006	LA	Oil & Gas	Other Revenues	17664.86
2006	MD	Oil & Gas	Other Revenues	7159.59
2006	MD	Oil & Gas	Rents	496
2006	MI	Oil & Gas	Rents	36434.5
2006	MI	Gas	Royalties	2124034.76
2006	MI	Oil	Royalties	214631.89
2006	MI	Oil & Gas	Other Revenues	1653.46
2006	MI	Oil & Gas	Other Royalties	-1760
2006	MI	NGL	Royalties	102903.74999999999
2006	MI	Oil & Gas	Bonus	8160
2006	MN	Copper	Other Revenues	26110
2006	MN	Hardrock	Other Revenues	22550
2006	MN	Copper	Rents	2611
2006	MN	Hardrock	Rents	4520
2006	MO	Hardrock	Rents	9740.99
